Customer ID,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,RFM_total,segmento
CUST061,268,1,200,2,1,3,213,6,Perdido
CUST062,6,1,100,5,1,2,512,8,Cliente nuevo
CUST063,331,1,50,1,1,1,111,3,Perdido
CUST064,343,1,100,1,1,2,112,4,Perdido
CUST065,28,1,2000,5,1,5,515,11,Cliente nuevo
CUST066,250,1,30,2,1,1,211,4,Perdido
CUST067,218,1,1200,3,1,5,315,9,Potencial
CUST068,326,1,300,1,1,4,114,6,Perdido
CUST069,247,1,75,2,1,2,212,5,Perdido
CUST070,315,1,300,1,1,4,114,6,Perdido
CUST071,172,1,100,3,1,2,312,6,Potencial
CUST072,224,1,2000,3,1,5,315,9,Potencial
CUST073,134,1,90,4,1,2,412,7,Cliente nuevo
CUST074,41,1,2000,5,1,5,515,11,Cliente nuevo
CUST075,180,1,200,3,1,3,313,7,Potencial
CUST076,283,1,100,2,1,2,212,5,Perdido
CUST077,177,1,100,3,1,2,312,6,Potencial
CUST078,185,1,1500,3,1,5,315,9,Potencial
CUST079,259,1,300,2,1,4,214,7,Perdido
CUST080,23,1,60,5,1,2,512,8,Cliente nuevo
CUST081,230,1,50,2,1,1,211,4,Perdido
CUST082,7,1,200,5,1,3,513,9,Cliente nuevo
CUST083,17,1,100,5,1,2,512,8,Cliente nuevo
CUST084,35,1,90,5,1,2,512,8,Cliente nuevo
CUST085,330,1,150,1,1,3,113,5,Perdido
CUST086,55,1,90,5,1,2,512,8,Cliente nuevo
CUST087,41,1,100,5,1,2,512,8,Cliente nuevo
CUST088,279,1,500,2,1,4,214,7,Perdido
CUST089,93,1,2000,4,1,5,415,10,Cliente nuevo
CUST090,241,1,30,2,1,1,211,4,Perdido
CUST091,283,1,500,2,1,4,214,7,Perdido
CUST092,130,1,120,4,1,3,413,8,Cliente nuevo
CUST093,172,1,2000,3,1,5,315,9,Potencial
CUST094,228,1,1000,2,1,4,214,7,Perdido
CUST095,39,1,60,5,1,2,512,8,Cliente nuevo
CUST096,14,1,600,5,1,4,514,10,Cliente nuevo
CUST097,81,1,1000,4,1,4,414,9,Cliente nuevo
CUST098,254,1,100,2,1,2,212,5,Perdido
CUST099,16,1,1200,5,1,5,515,11,Cliente nuevo
CUST100,200,1,30,3,1,1,311,5,Potencial
CUST1000,265,1,120,2,1,3,213,6,Perdido
CUST101,338,1,600,1,1,4,114,6,Perdido
CUST102,249,1,50,2,1,1,211,4,Perdido
CUST103,350,1,25,1,1,1,111,3,Perdido
CUST104,205,1,1000,3,1,4,314,8,Potencial
CUST105,161,1,500,3,1,4,314,8,Potencial
CUST106,229,1,50,2,1,1,211,4,Perdido
CUST107,333,1,1200,1,1,5,115,7,Perdido
CUST108,258,1,75,2,1,2,212,5,Perdido
CUST109,76,1,2000,4,1,5,415,10,Cliente nuevo
CUST110,205,1,900,3,1,4,314,8,Potencial
CUST111,258,1,1500,2,1,5,215,8,Perdido
CUST112,31,1,1500,5,1,5,515,11,Cliente nuevo
CUST113,111,1,50,4,1,1,411,6,Cliente nuevo
CUST114,164,1,100,3,1,2,312,6,Potencial
CUST115,37,1,1500,5,1,5,515,11,Cliente nuevo
CUST116,132,1,30,4,1,1,411,6,Cliente nuevo
CUST117,293,1,1000,1,1,4,114,6,Perdido
CUST118,231,1,2000,2,1,5,215,8,Perdido
CUST119,295,1,150,1,1,3,113,5,Perdido
CUST120,240,1,50,2,1,1,211,4,Perdido
CUST121,79,1,200,4,1,3,413,8,Cliente nuevo
CUST122,91,1,120,4,1,3,413,8,Cliente nuevo
CUST123,232,1,60,2,1,2,212,5,Perdido
CUST124,67,1,2000,5,1,5,515,11,Cliente nuevo
CUST125,147,1,100,4,1,2,412,7,Cliente nuevo
CUST126,68,1,90,5,1,2,512,8,Cliente nuevo
CUST127,162,1,50,3,1,1,311,5,Potencial
CUST128,181,1,500,3,1,4,314,8,Potencial
CUST129,254,1,600,2,1,4,214,7,Perdido
CUST130,296,1,500,1,1,4,114,6,Perdido
CUST131,106,1,600,4,1,4,414,9,Cliente nuevo
CUST132,114,1,200,4,1,3,413,8,Cliente nuevo
CUST133,320,1,900,1,1,4,114,6,Perdido
CUST134,342,1,50,1,1,1,111,3,Perdido
CUST135,310,1,50,1,1,1,111,3,Perdido
CUST136,288,1,600,2,1,4,214,7,Perdido
CUST137,45,1,1000,5,1,4,514,10,Cliente nuevo
CUST138,285,1,200,2,1,3,213,6,Perdido
CUST139,18,1,2000,5,1,5,515,11,Cliente nuevo
CUST140,150,1,30,3,1,1,311,5,Potencial
CUST141,61,1,50,5,1,1,511,7,Cliente nuevo
CUST142,334,1,1200,1,1,5,115,7,Perdido
CUST143,169,1,50,3,1,1,311,5,Potencial
CUST144,171,1,1500,3,1,5,315,9,Potencial
CUST145,61,1,75,5,1,2,512,8,Cliente nuevo
CUST146,127,1,200,4,1,3,413,8,Cliente nuevo
CUST147,96,1,300,4,1,4,414,9,Cliente nuevo
CUST148,238,1,60,2,1,2,212,5,Perdido
CUST149,83,1,75,4,1,2,412,7,Cliente nuevo
CUST150,361,1,120,1,1,3,113,5,Perdido
CUST151,18,1,50,5,1,1,511,7,Cliente nuevo
CUST152,308,1,2000,1,1,5,115,7,Perdido
CUST153,17,1,1000,5,1,4,514,10,Cliente nuevo
CUST154,92,1,900,4,1,4,414,9,Cliente nuevo
CUST155,230,1,2000,2,1,5,215,8,Perdido
CUST156,38,1,100,5,1,2,512,8,Cliente nuevo
CUST157,192,1,2000,3,1,5,315,9,Potencial
CUST158,309,1,600,1,1,4,114,6,Perdido
CUST159,216,1,200,3,1,3,313,7,Potencial
CUST160,144,1,100,4,1,2,412,7,Cliente nuevo
CUST161,286,1,1000,2,1,4,214,7,Perdido
CUST162,134,1,60,4,1,2,412,7,Cliente nuevo
CUST163,365,1,150,1,1,3,113,5,Perdido
CUST164,232,1,1500,2,1,5,215,8,Perdido
CUST165,110,1,1200,4,1,5,415,10,Cliente nuevo
CUST166,275,1,2000,2,1,5,215,8,Perdido
CUST167,107,1,150,4,1,3,413,8,Cliente nuevo
CUST168,312,1,300,1,1,4,114,6,Perdido
CUST169,46,1,1500,5,1,5,515,11,Cliente nuevo
CUST170,214,1,50,3,1,1,311,5,Potencial
CUST171,39,1,900,5,1,4,514,10,Cliente nuevo
CUST172,107,1,50,4,1,1,411,6,Cliente nuevo
CUST173,55,1,120,5,1,3,513,9,Cliente nuevo
CUST174,265,1,300,2,1,4,214,7,Perdido
CUST175,288,1,100,2,1,2,212,5,Perdido
CUST176,175,1,100,3,1,2,312,6,Potencial
CUST177,284,1,100,2,1,2,212,5,Perdido
CUST178,90,1,60,4,1,2,412,7,Cliente nuevo
CUST179,95,1,300,4,1,4,414,9,Cliente nuevo
CUST180,366,1,900,1,1,4,114,6,Perdido
CUST181,60,1,1200,5,1,5,515,11,Cliente nuevo
CUST182,201,1,120,3,1,3,313,7,Potencial
CUST183,116,1,900,4,1,4,414,9,Cliente nuevo
CUST184,357,1,200,1,1,3,113,5,Perdido
CUST185,309,1,25,1,1,1,111,3,Perdido
CUST186,181,1,200,3,1,3,313,7,Potencial
CUST187,209,1,100,3,1,2,312,6,Potencial
CUST188,244,1,75,2,1,2,212,5,Perdido
CUST189,337,1,50,1,1,1,111,3,Perdido
CUST190,243,1,90,2,1,2,212,5,Perdido
CUST191,76,1,25,4,1,1,411,6,Cliente nuevo
CUST192,326,1,100,1,1,2,112,4,Perdido
CUST193,323,1,1500,1,1,5,115,7,Perdido
CUST194,118,1,200,4,1,3,413,8,Cliente nuevo
CUST195,331,1,30,1,1,1,111,3,Perdido
CUST196,94,1,900,4,1,4,414,9,Cliente nuevo
CUST197,302,1,200,1,1,3,113,5,Perdido
CUST198,301,1,900,1,1,4,114,6,Perdido
CUST199,29,1,1500,5,1,5,515,11,Cliente nuevo
CUST200,123,1,150,4,2,3,423,9,Cliente nuevo
CUST201,85,1,25,4,2,1,421,7,Cliente nuevo
CUST202,282,1,1200,2,2,5,225,9,Perdido
CUST203,231,1,1000,2,2,4,224,8,Perdido
CUST204,96,1,25,4,2,1,421,7,Cliente nuevo
CUST205,56,1,25,5,2,1,521,8,Cliente nuevo
CUST206,150,1,25,3,2,1,321,6,Potencial
CUST207,258,1,50,2,2,1,221,5,Perdido
CUST208,90,1,200,4,2,3,423,9,Cliente nuevo
CUST209,13,1,200,5,2,3,523,10,Cliente nuevo
CUST210,264,1,200,2,2,3,223,7,Perdido
CUST211,1,1,1500,5,2,5,525,12,Cliente nuevo
CUST212,207,1,1500,3,2,5,325,10,Potencial
CUST213,162,1,1500,3,2,5,325,10,Potencial
CUST214,23,1,60,5,2,2,522,9,Cliente nuevo
CUST215,34,1,1500,5,2,5,525,12,Cliente nuevo
CUST216,175,1,100,3,2,2,322,7,Potencial
CUST217,142,1,200,4,2,3,423,9,Cliente nuevo
CUST218,102,1,90,4,2,2,422,8,Cliente nuevo
CUST219,135,1,90,4,2,2,422,8,Cliente nuevo
CUST220,305,1,500,1,2,4,124,7,Perdido
CUST221,240,1,600,2,2,4,224,8,Perdido
CUST222,251,1,120,2,2,3,223,7,Perdido
CUST223,334,1,25,1,2,1,121,4,Perdido
CUST224,193,1,50,3,2,1,321,6,Potencial
CUST225,356,1,100,1,2,2,122,5,Perdido
CUST226,65,1,50,5,2,1,521,8,Cliente nuevo
CUST227,83,1,100,4,2,2,422,8,Cliente nuevo
CUST228,249,1,60,2,2,2,222,6,Perdido
CUST229,65,1,90,5,2,2,522,9,Cliente nuevo
CUST230,254,1,25,2,2,1,221,5,Perdido
CUST231,363,1,150,1,2,3,123,6,Perdido
CUST232,330,1,25,1,2,1,121,4,Perdido
CUST233,4,1,600,5,2,4,524,11,Cliente nuevo
CUST234,43,1,50,5,2,1,521,8,Cliente nuevo
CUST235,336,1,1000,1,2,4,124,7,Perdido
CUST236,249,1,25,2,2,1,221,5,Perdido
CUST237,332,1,1000,1,2,4,124,7,Perdido
CUST238,350,1,500,1,2,4,124,7,Perdido
CUST239,197,1,1500,3,2,5,325,10,Potencial
CUST240,330,1,300,1,2,4,124,7,Perdido
CUST241,103,1,75,4,2,2,422,8,Cliente nuevo
CUST242,245,1,25,2,2,1,221,5,Perdido
CUST243,224,1,900,3,2,4,324,9,Potencial
CUST244,24,1,100,5,2,2,522,9,Cliente nuevo
CUST245,118,1,90,4,2,2,422,8,Cliente nuevo
CUST246,257,1,50,2,2,1,221,5,Perdido
CUST247,90,1,60,4,2,2,422,8,Cliente nuevo
CUST248,299,1,900,1,2,4,124,7,Perdido
CUST249,74,1,50,4,2,1,421,7,Cliente nuevo
CUST250,71,1,50,5,2,1,521,8,Cliente nuevo
CUST251,124,1,200,4,2,3,423,9,Cliente nuevo
CUST252,242,1,300,2,2,4,224,8,Perdido
CUST253,124,1,2000,4,2,5,425,11,Cliente nuevo
CUST254,158,1,500,3,2,4,324,9,Potencial
CUST255,269,1,30,2,2,1,221,5,Perdido
CUST256,318,1,1000,1,2,4,124,7,Perdido
CUST257,317,1,2000,1,2,5,125,8,Perdido
CUST258,29,1,50,5,2,1,521,8,Cliente nuevo
CUST259,146,1,200,4,2,3,423,9,Cliente nuevo
CUST260,185,1,60,3,2,2,322,7,Potencial
CUST261,150,1,50,3,2,1,321,6,Potencial
CUST262,156,1,120,3,2,3,323,8,Potencial
CUST263,127,1,60,4,2,2,422,8,Cliente nuevo
CUST264,339,1,900,1,2,4,124,7,Perdido
CUST265,22,1,900,5,2,4,524,11,Cliente nuevo
CUST266,32,1,60,5,2,2,522,9,Cliente nuevo
CUST267,36,1,90,5,2,2,522,9,Cliente nuevo
CUST268,316,1,30,1,2,1,121,4,Perdido
CUST269,335,1,2000,1,2,5,125,8,Perdido
CUST270,160,1,300,3,2,4,324,9,Potencial
CUST271,193,1,120,3,2,3,323,8,Potencial
CUST272,311,1,100,1,2,2,122,5,Perdido
CUST273,239,1,50,2,2,1,221,5,Perdido
CUST274,268,1,1000,2,2,4,224,8,Perdido
CUST275,269,1,1000,2,2,4,224,8,Perdido
CUST276,92,1,100,4,2,2,422,8,Cliente nuevo
CUST277,137,1,100,4,2,2,422,8,Cliente nuevo
CUST278,295,1,100,1,2,2,122,5,Perdido
CUST279,150,1,500,3,2,4,324,9,Potencial
CUST280,273,1,1500,2,2,5,225,9,Perdido
CUST281,224,1,2000,3,2,5,325,10,Potencial
CUST282,130,1,200,4,2,3,423,9,Cliente nuevo
CUST283,239,1,500,2,2,4,224,8,Perdido
CUST284,328,1,200,1,2,3,123,6,Perdido
CUST285,140,1,25,4,2,1,421,7,Cliente nuevo
CUST286,85,1,50,4,2,1,421,7,Cliente nuevo
CUST287,316,1,100,1,2,2,122,5,Perdido
CUST288,341,1,120,1,2,3,123,6,Perdido
CUST289,33,1,60,5,2,2,522,9,Cliente nuevo
CUST290,90,1,600,4,2,4,424,10,Cliente nuevo
CUST291,359,1,600,1,2,4,124,7,Perdido
CUST292,319,1,1200,1,2,5,125,8,Perdido
CUST293,245,1,90,2,2,2,222,6,Perdido
CUST294,281,1,90,2,2,2,222,6,Perdido
CUST295,158,1,900,3,2,4,324,9,Potencial
CUST296,118,1,1200,4,2,5,425,11,Cliente nuevo
CUST297,120,1,1000,4,2,4,424,10,Cliente nuevo
CUST298,257,1,1200,2,2,5,225,9,Perdido
CUST299,161,1,1000,3,2,4,324,9,Potencial
CUST300,336,1,200,1,2,3,123,6,Perdido
CUST301,282,1,120,2,2,3,223,7,Perdido
CUST302,172,1,600,3,2,4,324,9,Potencial
CUST303,365,1,90,1,2,2,122,5,Perdido
CUST304,167,1,60,3,2,2,322,7,Potencial
CUST305,231,1,30,2,2,1,221,5,Perdido
CUST306,134,1,50,4,2,1,421,7,Cliente nuevo
CUST307,220,1,50,3,2,1,321,6,Potencial
CUST308,150,1,1200,3,2,5,325,10,Potencial
CUST309,10,1,25,5,2,1,521,8,Cliente nuevo
CUST310,82,1,25,4,2,1,421,7,Cliente nuevo
CUST311,28,1,100,5,2,2,522,9,Cliente nuevo
CUST312,117,1,120,4,2,3,423,9,Cliente nuevo
CUST313,287,1,1500,2,2,5,225,9,Perdido
CUST314,269,1,120,2,2,3,223,7,Perdido
CUST315,215,1,60,3,2,2,322,7,Potencial
CUST316,255,1,50,2,2,1,221,5,Perdido
CUST317,337,1,90,1,2,2,122,5,Perdido
CUST318,70,1,25,5,2,1,521,8,Cliente nuevo
CUST319,89,1,500,4,2,4,424,10,Cliente nuevo
CUST320,335,1,1200,1,2,5,125,8,Perdido
CUST321,206,1,50,3,2,1,321,6,Potencial
CUST322,337,1,500,1,2,4,124,7,Perdido
CUST323,341,1,900,1,2,4,124,7,Perdido
CUST324,67,1,150,5,2,3,523,10,Cliente nuevo
CUST325,122,1,50,4,2,1,421,7,Cliente nuevo
CUST326,109,1,75,4,2,2,422,8,Cliente nuevo
CUST327,95,1,150,4,2,3,423,9,Cliente nuevo
CUST328,286,1,100,2,2,2,222,6,Perdido
CUST329,337,1,100,1,2,2,122,5,Perdido
CUST330,106,1,200,4,2,3,423,9,Cliente nuevo
CUST331,325,1,90,1,2,2,122,5,Perdido
CUST332,271,1,1200,2,2,5,225,9,Perdido
CUST333,331,1,1200,1,2,5,125,8,Perdido
CUST334,62,1,900,5,2,4,524,11,Cliente nuevo
CUST335,332,1,120,1,2,3,123,6,Perdido
CUST336,21,1,150,5,2,3,523,10,Cliente nuevo
CUST337,246,1,500,2,2,4,224,8,Perdido
CUST338,160,1,100,3,2,2,322,7,Potencial
CUST339,305,1,50,1,2,1,121,4,Perdido
CUST340,75,1,1200,4,2,5,425,11,Cliente nuevo
CUST341,240,1,200,2,2,3,223,7,Perdido
CUST342,70,1,2000,5,2,5,525,12,Cliente nuevo
CUST343,62,1,50,5,2,1,521,8,Cliente nuevo
CUST344,346,1,30,1,2,1,121,4,Perdido
CUST345,49,1,30,5,2,1,521,8,Cliente nuevo
CUST346,325,1,1000,1,2,4,124,7,Perdido
CUST347,152,1,25,3,2,1,321,6,Potencial
CUST348,30,1,600,5,2,4,524,11,Cliente nuevo
CUST349,68,1,50,5,2,1,521,8,Cliente nuevo
CUST350,77,1,75,4,2,2,422,8,Cliente nuevo
CUST351,99,1,90,4,2,2,422,8,Cliente nuevo
CUST352,205,1,1000,3,2,4,324,9,Potencial
CUST353,233,1,500,2,2,4,224,8,Perdido
CUST354,262,1,200,2,2,3,223,7,Perdido
CUST355,24,1,500,5,2,4,524,11,Cliente nuevo
CUST356,206,1,1500,3,2,5,325,10,Potencial
CUST357,244,1,75,2,2,2,222,6,Perdido
CUST358,231,1,300,2,2,4,224,8,Perdido
CUST359,164,1,50,3,2,1,321,6,Potencial
CUST360,299,1,100,1,2,2,122,5,Perdido
CUST361,23,1,1200,5,2,5,525,12,Cliente nuevo
CUST362,36,1,25,5,2,1,521,8,Cliente nuevo
CUST363,213,1,25,3,2,1,321,6,Potencial
CUST364,132,1,500,4,2,4,424,10,Cliente nuevo
CUST365,205,1,300,3,2,4,324,9,Potencial
CUST366,329,1,100,1,2,2,122,5,Perdido
CUST367,362,1,50,1,2,1,121,4,Perdido
CUST368,132,1,1200,4,2,5,425,11,Cliente nuevo
CUST369,48,1,1500,5,2,5,525,12,Cliente nuevo
CUST370,78,1,60,4,2,2,422,8,Cliente nuevo
CUST371,315,1,25,1,2,1,121,4,Perdido
CUST372,329,1,1500,1,2,5,125,8,Perdido
CUST373,91,1,600,4,2,4,424,10,Cliente nuevo
CUST374,257,1,75,2,2,2,222,6,Perdido
CUST375,107,1,50,4,2,1,421,7,Cliente nuevo
CUST376,231,1,30,2,2,1,221,5,Perdido
CUST377,299,1,200,1,2,3,123,6,Perdido
CUST378,188,1,300,3,2,4,324,9,Potencial
CUST379,331,1,25,1,2,1,121,4,Perdido
CUST380,241,1,600,2,2,4,224,8,Perdido
CUST381,177,1,100,3,2,2,322,7,Potencial
CUST382,221,1,1000,3,2,4,324,9,Potencial
CUST383,286,1,90,2,2,2,222,6,Perdido
CUST384,142,1,500,4,2,4,424,10,Cliente nuevo
CUST385,88,1,1500,4,2,5,425,11,Cliente nuevo
CUST386,6,1,600,5,2,4,524,11,Cliente nuevo
CUST387,212,1,30,3,2,1,321,6,Potencial
CUST388,53,1,25,5,2,1,521,8,Cliente nuevo
CUST389,32,1,50,5,2,1,521,8,Cliente nuevo
CUST390,96,1,100,4,2,2,422,8,Cliente nuevo
CUST391,362,1,50,1,2,1,121,4,Perdido
CUST392,25,1,600,5,2,4,524,11,Cliente nuevo
CUST393,83,1,1000,4,2,4,424,10,Cliente nuevo
CUST394,213,1,500,3,2,4,324,9,Potencial
CUST395,27,1,1000,5,2,4,524,11,Cliente nuevo
CUST396,313,1,30,1,2,1,121,4,Perdido
CUST397,298,1,25,1,2,1,121,4,Perdido
CUST398,231,1,600,2,2,4,224,8,Perdido
CUST399,307,1,60,1,2,2,122,5,Perdido
CUST400,312,1,200,1,3,3,133,7,En riesgo
CUST401,83,1,300,4,3,4,434,11,Cliente leal
CUST402,287,1,600,2,3,4,234,9,En riesgo
CUST403,227,1,600,2,3,4,234,9,En riesgo
CUST404,222,1,1000,3,3,4,334,10,Cliente leal
CUST405,57,1,1200,5,3,5,535,13,Cliente leal
CUST406,259,1,100,2,3,2,232,7,En riesgo
CUST407,191,1,900,3,3,4,334,10,Cliente leal
CUST408,262,1,500,2,3,4,234,9,En riesgo
CUST409,15,1,900,5,3,4,534,12,Cliente leal
CUST410,42,1,100,5,3,2,532,10,Cliente leal
CUST411,231,1,200,2,3,3,233,8,En riesgo
CUST412,108,1,2000,4,3,5,435,12,Cliente leal
CUST413,116,1,75,4,3,2,432,9,Cliente leal
CUST414,238,1,100,2,3,2,232,7,En riesgo
CUST415,340,1,60,1,3,2,132,6,En riesgo
CUST416,319,1,2000,1,3,5,135,9,En riesgo
CUST417,42,1,900,5,3,4,534,12,Cliente leal
CUST418,150,1,1000,3,3,4,334,10,Cliente leal
CUST419,225,1,90,2,3,2,232,7,En riesgo
CUST420,344,1,2000,1,3,5,135,9,En riesgo
CUST421,365,1,1500,1,3,5,135,9,En riesgo
CUST422,196,1,90,3,3,2,332,8,Cliente leal
CUST423,300,1,25,1,3,1,131,5,En riesgo
CUST424,40,1,1200,5,3,5,535,13,Cliente leal
CUST425,232,1,120,2,3,3,233,8,En riesgo
CUST426,284,1,150,2,3,3,233,8,En riesgo
CUST427,140,1,25,4,3,1,431,8,Cliente leal
CUST428,84,1,200,4,3,3,433,10,Cliente leal
CUST429,5,1,50,5,3,1,531,9,Cliente leal
CUST430,148,1,900,3,3,4,334,10,Cliente leal
CUST431,79,1,1200,4,3,5,435,12,Cliente leal
CUST432,362,1,1000,1,3,4,134,8,En riesgo
CUST433,309,1,200,1,3,3,133,7,En riesgo
CUST434,328,1,50,1,3,1,131,5,En riesgo
CUST435,13,1,900,5,3,4,534,12,Cliente leal
CUST436,290,1,120,1,3,3,133,7,En riesgo
CUST437,87,1,1200,4,3,5,435,12,Cliente leal
CUST438,348,1,30,1,3,1,131,5,En riesgo
CUST439,177,1,75,3,3,2,332,8,Cliente leal
CUST440,68,1,600,5,3,4,534,12,Cliente leal
CUST441,84,1,1200,4,3,5,435,12,Cliente leal
CUST442,291,1,100,1,3,2,132,6,En riesgo
CUST443,146,1,600,4,3,4,434,11,Cliente leal
CUST444,301,1,90,1,3,2,132,6,En riesgo
CUST445,345,1,300,1,3,4,134,8,En riesgo
CUST446,209,1,50,3,3,1,331,7,Cliente leal
CUST447,180,1,2000,3,3,5,335,11,Cliente leal
CUST448,346,1,60,1,3,2,132,6,En riesgo
CUST449,183,1,200,3,3,3,333,9,Cliente leal
CUST450,259,1,50,2,3,1,231,6,En riesgo
CUST451,17,1,30,5,3,1,531,9,Cliente leal
CUST452,239,1,1500,2,3,5,235,10,En riesgo
CUST453,25,1,1000,5,3,4,534,12,Cliente leal
CUST454,314,1,25,1,3,1,131,5,En riesgo
CUST455,185,1,100,3,3,2,332,8,Cliente leal
CUST456,80,1,60,4,3,2,432,9,Cliente leal
CUST457,158,1,900,3,3,4,334,10,Cliente leal
CUST458,49,1,100,5,3,2,532,10,Cliente leal
CUST459,287,1,1200,2,3,5,235,10,En riesgo
CUST460,245,1,50,2,3,1,231,6,En riesgo
CUST461,283,1,1000,2,3,4,234,9,En riesgo
CUST462,276,1,1200,2,3,5,235,10,En riesgo
CUST463,155,1,1500,3,3,5,335,11,Cliente leal
CUST464,354,1,600,1,3,4,134,8,En riesgo
CUST465,275,1,150,2,3,3,233,8,En riesgo
CUST466,196,1,100,3,3,2,332,8,Cliente leal
CUST467,156,1,150,3,3,3,333,9,Cliente leal
CUST468,24,1,25,5,3,1,531,9,Cliente leal
CUST469,239,1,75,2,3,2,232,7,En riesgo
CUST470,230,1,1000,2,3,4,234,9,En riesgo
CUST471,285,1,150,2,3,3,233,8,En riesgo
CUST472,7,1,900,5,3,4,534,12,Cliente leal
CUST473,311,1,50,1,3,1,131,5,En riesgo
CUST474,171,1,1500,3,3,5,335,11,Cliente leal
CUST475,347,1,75,1,3,2,132,6,En riesgo
CUST476,126,1,2000,4,3,5,435,12,Cliente leal
CUST477,253,1,120,2,3,3,233,8,En riesgo
CUST478,264,1,60,2,3,2,232,7,En riesgo
CUST479,131,1,1200,4,3,5,435,12,Cliente leal
CUST480,187,1,2000,3,3,5,335,11,Cliente leal
CUST481,210,1,1200,3,3,5,335,11,Cliente leal
CUST482,250,1,1200,2,3,5,235,10,En riesgo
CUST483,252,1,30,2,3,1,231,6,En riesgo
CUST484,354,1,1200,1,3,5,135,9,En riesgo
CUST485,29,1,30,5,3,1,531,9,Cliente leal
CUST486,268,1,25,2,3,1,231,6,En riesgo
CUST487,162,1,2000,3,3,5,335,11,Cliente leal
CUST488,198,1,900,3,3,4,334,10,Cliente leal
CUST489,224,1,30,3,3,1,331,7,Cliente leal
CUST490,331,1,150,1,3,3,133,7,En riesgo
CUST491,224,1,900,3,3,4,334,10,Cliente leal
CUST492,187,1,100,3,3,2,332,8,Cliente leal
CUST493,38,1,50,5,3,1,531,9,Cliente leal
CUST494,106,1,200,4,3,3,433,10,Cliente leal
CUST495,162,1,60,3,3,2,332,8,Cliente leal
CUST496,19,1,600,5,3,4,534,12,Cliente leal
CUST497,92,1,120,4,3,3,433,10,Cliente leal
CUST498,197,1,100,3,3,2,332,8,Cliente leal
CUST499,352,1,60,1,3,2,132,6,En riesgo
